ProductGroupID;ProductGroupDescription;BooksEcobookstoreDescription;BooksFairnopolyID;BooksFairnopolyDescription;BooksGoogleDescription
364;Reise/Reiseberichte/Naher Osten;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke
365;Reise/Reiseberichte/Asien;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke
366;Reise/Reiseberichte/Nordamerika, Mittelamerika;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke
367;Reise/Reiseberichte/Südamerika;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke 
368;Reise/Reiseberichte/Australien, Ozeanien;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke
369;Reise/Reiseberichte/Welt;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke 
370;Reise/Atlanten;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke 
371;Reise/Weltatlanten;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke
372;Reise/Autoatlanten;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke
373;Reise/Thematische Atlanten;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke 
379;Reise/Atlanten;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke 
380;Reise/Globen;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke
